video,log_stem,motion,target_lateral_mm,target_forward_mm
PXL_20260723_161330413_turn90.mp4,20260724_011348_myshell_debug_log_long_r90,long_r90,-90,90
PXL_20260723_161529470_turn90.mp4,20260724_011546_myshell_debug_log_long_r90,long_r90,-90,90
PXL_20260723_161640038_turn90.mp4,20260724_011701_myshell_debug_log_long_r90,long_r90,-90,90
PXL_20260723_161756449_turn180.mp4,20260724_011851_myshell_debug_log_long_r180,long_r180,-90,0
PXL_20260723_161937030_turn180.mp4,20260724_012001_myshell_debug_log_long_r180,long_r180,-90,0
PXL_20260723_162048138_turn180.mp4,20260724_012107_myshell_debug_log_long_r180,long_r180,-90,0
PXL_20260723_163957963_turnin45.mp4,20260724_014022_myshell_debug_log_in_r45,in_r45,-45,90
PXL_20260723_164108052_turnin45.mp4,20260724_014131_myshell_debug_log_in_r45,in_r45,-45,90
PXL_20260723_164215117_turnin45.mp4,20260724_014239_myshell_debug_log_in_r45,in_r45,-45,90
PXL_20260723_164331188_turnin135.mp4,20260724_014355_myshell_debug_log_in_r135,in_r135,-90,45
PXL_20260723_164440192_turnin135.mp4,20260724_014501_myshell_debug_log_in_r135,in_r135,-90,45
PXL_20260723_164546074_turnin135.mp4,20260724_014614_myshell_debug_log_in_r135,in_r135,-90,45
PXL_20260723_164714357_turnout45.mp4,20260724_014747_myshell_debug_log_out_r45,out_r45,-90,45
PXL_20260723_165208846_turnout45.mp4,20260724_015229_myshell_debug_log_out_r45,out_r45,-90,45
PXL_20260723_165319564_turnout45.mp4,20260724_015352_myshell_debug_log_out_r45,out_r45,-90,45
PXL_20260723_165447498_turnout135.mp4,20260724_015542_myshell_debug_log_out_r135,out_r135,-90,-45
PXL_20260723_165627623_turnout135.mp4,20260724_015647_myshell_debug_log_out_r135,out_r135,-90,-45
PXL_20260723_165750265_turnout135.mp4,20260724_015814_myshell_debug_log_out_r135,out_r135,-90,-45
PXL_20260723_165921238_v90.mp4,20260724_015943_myshell_debug_log_r_v90,r_v90,-90,0
PXL_20260723_170047077_v90.mp4,20260724_020113_myshell_debug_log_r_v90,r_v90,-90,0
PXL_20260723_170159905_v90.mp4,20260724_020224_myshell_debug_log_r_v90,r_v90,-90,0
